comment,toxic
"Верблюдов-то за что? Дебилы, бл...
",1.0
"Хохлы, это отдушина затюканого россиянина, мол, вон, а у хохлов еще хуже. Если бы хохлов не было, кисель их бы придумал.
",1.0
"Собаке - собачья смерть
",1.0
"Страницу обнови, дебил. Это тоже не оскорбление, а доказанный факт - не-дебил про себя во множественном числе писать не будет. Или мы в тебя верим - это ты и твои воображаемые друзья?
",1.0
"тебя не убедил 6-страничный пдф в том, что Скрипалей отравила Россия? Анализировать и думать пытаешься? Ватник что ли?)
",1.0
"Для каких стан является эталоном современная система здравоохранения РФ? Для Зимбабве? Ты тупой? хохлы
",1.0
"В шапке были ссылки на инфу по текущему фильму марвел. Эти ссылки были заменены на фразу Репортим брипидора, игнорируем его посты. Если этого недостаточно, чтобы понять, что модератор абсолютный неадекват, и его нужно лишить полномочий, тогда эта борда пробивает абсолютное дно по неадекватности.
",0.0
"УПАД Т! ТАМ НЕЛЬЗЯ СТРОИТЬ! ТЕХНОЛОГИЙ НЕТ! РАЗВОРУЮТ КАК ВСЕГДА! УЖЕ ТРЕЩИНАМИ ПОШ Л! ТУПЫЕ КИТАЗЫ НЕ МОГУТ НИЧЕГО НОРМАЛЬНО СДЕЛАТЬ!
",1.0
"Ебать тебя разносит, шизик.
",1.0
"Обосрался, сиди обтекай
",1.0
"Зачем ты пишешь хуйню, дегенерат? Поцелуй в губы ! поцелую в засос.
",1.0
"Бактерия, тебе этого не понять Конечно, я же не ист е рик. Вот здесь поподробнее Сахаров А.Н вещает: Ты какой-то бред написал. Всё логично. Фраза была обращена к тебе. Твои проблемы - учись изъясняться определённее. Я заказал книгу о Второй Мировой войне на planeta.ru. Ой, извини, тогда ты не шваль - ты просто чернь. Это при условии, что ты действительно заказал маняграфию
",1.0
"Почитайте посты у этого автора,может найдете что нибудь полезное. Надеюсь помог) https: pikabu.ru story obyichnyie budni dezsluzhbyi 4932098
",0.0
"Уроды!! у нас в семье 3 поколения там родились
",1.0
"Можем на тебя ещё и модера за безмозглых позвать.
",1.0
"хорош врать, ты террорист-торчёк-шизофреник пруф: а вот без костюма да чутка учёный, миллиардер, филантроп
",1.0
"Всем, кстати, наплевать. Главное - уровень жизни. Вдвойне наплевать на кукареканье тупорылого хохла с форума-помойки.
",1.0
"Про графику было обидно) я так то проходил все серии гта со второй части по пятую, кроме гта 4. И мне не мешала графика ни в одной из частей. На компе у меня было куча видеокарт. Начиная с 32мб RIVA TNT и заканчивая 2Гб 560Ti на которой я спокойно играю который год в танки, гта5, ведьмака3 купил на распродаже и начал проходить. Да, не на ультрах. С пониженными текстурами. И не мешает. Я не понимаю дрочева на графике, требовать графику уровня плойки 4 минимум. Мне надо чтобы глаза не резало, только и всего. По поводу управления, мне не хватает переходника на type c. У меня джойстик есть от иксбокса360. Потенциала в мобильных играх достаточно чтобы забить кнопки как забивались в той же NFS MW в 2005. Не самая плохая игра была.
",0.0
"Я вообще мимо шёл. Вот сейчас поплачу над твоей головушкой, подзалупная истеричка, и дальше пойду. Ты такой же тупой и обманутый ванька как и те воеваки. То что вы глупые, невоспитанные, бедные, без прошлого и будущего и вас наебали на этот ресентимент ушлые чекисты и такие жирные приживалы как Гейгорка и Гоблач - всё это не снимает личной ответственности за свою жизнь и поступки. Очень вас жаль, но руки тебе не подам, отгрызёшь.
",1.0
"Мэдисон Тоже такой же стример Это такой троллинг или тебя мать в детстве роняла? Тебе нравится прикидываться тупым или ты просто тупой?
",1.0
"Ну, посмотрел я комментарии к твоим постам, процент говнокомментов ниже средней отметки.
",1.0
"А где я это утверждал, чмоха? Опять спалились.
",1.0
"В обеих странах есть партия войны . И в обеих странах эта война сейчас разжигается и поддерживается Смотрите, парни. И вот после этого руснявого пиздежа пидараны требуют к ним хорошего отношения? Мань, может это Украина хуярит по в на роисе градами ? Украина засылает в на роисю террористов бандитов ихтамнетов? Харк тебе в ебло, спидозная тварь.
",1.0
"и причем здесь чувство юмора? сам придумал - сам опроверг? я писал что они считают себя веселой нацией
",1.0
"Да какая агрессия. Тебя ткнули в твое же дерьмо. Обтекай. Это я без отрицательных эмоций. Просто факт.
",1.0
"Что ты имеешь против кремля, холоп заморского барина?
",1.0
"Ох вау, а какой стороной ножа резать, не подскажешь? Дебил хвастается рязанским еблом, ещё и гуглит незнакомые словечки. Ну вся суть никому не нужного селюка с никому не нужным тредом.
",1.0
"Это совсем не смешно. Но уроды могут поржать. И им даже не объяснишь, что они уроды. Они приспособились с этим жить. Пока они потребляют, они удобны тому, кто продает им хавку и цацки, так что, скорее, верно ваше утверждение мир ебанутый , если совсем узко смотреть.
",1.0
"https: pp.userapi.com c848520 v848520411 11627b cOhWqFbGjWE.jpg
",0.0
"будет пытаться Да украинский прекрасно читается. Отлично читаю, будучи русским либералом, не учив специально украинский. Вон, тот же Лога(чев)(бола)шенко, ватник, причем поехавший со справкой, позволяющей ему ездить на пригородных поездах, и то понимает украинский, как и белоррусский и польский, как свой, пруфы ищите на инфожд. А что если Новороссия это эксперементальный полигон, где Пыня проводит эксперемент, по определению уровня терпильности россиян. Допустим сначала в Новороссии вводят новшевство , там россияне терпят, а потом такие же вещи введут в РФ Не Новороссия, а новохуесоссия. Это давно ясно, еще есть такой полигон, как якобы независимая Беларусь.
",1.0
"И ещё один, какая же русня дегенераты пиздец просто.
",1.0
"Тебе даже сказать нечего, понимаешь? У тебя нету даже своего понимания вопроса. Ты как животное или даже хуже. Не отвечай мне больше такими высерами, типичный представитель травли тредов.
",1.0
"Диванный политолог слился, как обычно
",1.0
"С каких пор неадекват - это оскорбление? На Пикабу тысячи таких комментариев, и модераторы, даже будучи призванными, их не удаляют. Я вас дураком не называл. Это был вопрос: ты дурак? . И опять же, таких вопросов на Пикабу тысячи, если не больше, вплоть до ты ебанутый? или ты долбоеб? - и они тоже не считаются оскорблением и не удаляются. Вы считаете оскорблением то, что тысячи раз до этого оскорблениями не считали. Если правила в одном случае работают, а в другом нет, то это что угодно, но не правила.
",1.0
"50к в год это либо он тебе в уши ссыт чтобы ты не завидовал, либо я даже не знаю, в рабстве в каком-то бодишопе? Это не средний американец, это лох какой-то. Туда даже наши боди шопы перевозят людей на 80к в год и это с учетом визы которая запрещает смену работодателя (т.е. условия там средние а не лучшие, все равно никуда не денешься). Ты бы зашел на glassdoor про медианные зарплаты почитал и не позорился со своими выдуманными знакомыми. Так и что там со страховками, цифры то хоть смог прочитать? Короче методичка у тебя хорошая, но те кто в теме сразу видят какой ты пиздабол.
",1.0
